
            P L A N E   S T R E S S                           



xzy 18/12/29                                                                    


 npoin = 160     nelem = 135     nvfix =  20     ntype =   1

 nnode =   4     nmats =   1     ngaus =   2     nevab =   8

 nstre =   3     ndofn =   2     noutp = 333


 Element   Property      Node Numbers
     1        1          1   11   12    2
     2        1          2   12   13    3
     3        1          3   13   14    4
     4        1          4   14   15    5
     5        1          5   15   16    6
     6        1          6   16   17    7
     7        1          7   17   18    8
     8        1          8   18   20    9
     9        1          9   20   19   10
    10        1         11   29   30   12
    11        1         12   30   28   13
    12        1         13   28   27   14
    13        1         14   27   26   15
    14        1         15   26   25   16
    15        1         16   25   24   17
    16        1         17   24   23   18
    17        1         18   23   22   20
    18        1         20   22   21   19
    19        1         22   32   31   21
    20        1         23   33   32   22
    21        1         24   34   33   23
    22        1         25   35   34   24
    23        1         26   36   35   25
    24        1         27   37   36   26
    25        1         28   38   37   27
    26        1         30   39   38   28
    27        1         29  106   39   30
    28        1         32   41   40   31
    29        1         33   42   41   32
    30        1         34   43   42   33
    31        1         35   44   43   34
    32        1         36   45   44   35
    33        1         37   46   45   36
    34        1         38   47   46   37
    35        1         39   48   47   38
    36        1        106  107   48   39
    37        1         41   50   49   40
    38        1         42   51   50   41
    39        1         43   52   51   42
    40        1         44   53   52   43
    41        1         45   54   53   44
    42        1         46   55   54   45
    43        1         47   56   55   46
    44        1         48   57   56   47
    45        1        107  108   57   48
    46        1         50   59   58   49
    47        1         51   60   59   50
    48        1         52   61   60   51
    49        1         53   62   61   52
    50        1         54   93   62   53
    51        1         55   94   93   54
    52        1         56   95   94   55
    53        1         57   96   95   56
    54        1        108  109   96   57
    55        1         59   64   63   58
    56        1         60   65   64   59
    57        1         61   66   65   60
    58        1         62   67   66   61
    59        1         93   97   67   62
    60        1         64   69   68   63
    61        1         65   70   69   64
    62        1         66   71   70   65
    63        1         67   72   71   66
    64        1         97   98   72   67
    65        1         69   74   73   68
    66        1         70   75   74   69
    67        1         71   76   75   70
    68        1         72   77   76   71
    69        1         98   99   77   72
    70        1         74   79   78   73
    71        1         75   80   79   74
    72        1         76   81   80   75
    73        1         77   82   81   76
    74        1         99  100   82   77
    75        1         79   86   83   78
    76        1         80   88   86   79
